date,source,segment,customer_id,dealership_location,vehicle_type,product_area,rating,feedback
2026-01-18,Email Survey,Budget Buyer,DLR-CUST-10018,Downtown Auto Mall,Certified Pre-Owned,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-01-19,Cars.com,Budget Buyer,DLR-CUST-10019,Northside Motors,Certified Pre-Owned,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-01-20,Facebook,Budget Buyer,DLR-CUST-10020,Northside Motors,Hybrid,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-01-21,Phone Follow-up,Fleet Customer,DLR-CUST-10021,Northside Motors,SUV,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-01-22,Email Survey,Fleet Customer,DLR-CUST-10022,West Valley Cars,Van,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-01-23,Cars.com,Fleet Customer,DLR-CUST-10023,West Valley Cars,SUV,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-01-24,Facebook,Fleet Customer,DLR-CUST-10024,West Valley Cars,Sedan,Service Department,1,The same warning light came back the day after service.
2026-01-25,Dealer Website,Fleet Customer,DLR-CUST-10025,Lakeside Dealership,Truck,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-01-26,Service Survey,Service Customer,DLR-CUST-10026,Lakeside Dealership,Certified Pre-Owned,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-01-27,Phone Follow-up,Service Customer,DLR-CUST-10027,Lakeside Dealership,Certified Pre-Owned,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-01-28,Google Reviews,Service Customer,DLR-CUST-10028,Airport Auto Center,Sedan,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-01-29,Dealer Website,Service Customer,DLR-CUST-10029,Airport Auto Center,Luxury SUV,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-01-30,Service Survey,Service Customer,DLR-CUST-10030,Airport Auto Center,Sedan,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-01-31,Phone Follow-up,Trade-in Customer,DLR-CUST-10031,Downtown Auto Mall,Van,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-02-01,Phone Follow-up,Trade-in Customer,DLR-CUST-10032,Downtown Auto Mall,EV,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-02-02,Email Survey,Trade-in Customer,DLR-CUST-10033,Downtown Auto Mall,Truck,Website,2,The payment calculator does not match the numbers provided by finance.
2026-02-03,Cars.com,Trade-in Customer,DLR-CUST-10034,Northside Motors,Hybrid,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-02-04,Facebook,Trade-in Customer,DLR-CUST-10035,Northside Motors,EV,Website,1,I submitted a lead form and never received a response.
2026-02-05,Facebook,First-time Buyer,DLR-CUST-10036,Northside Motors,Sedan,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-02-06,Google Reviews,First-time Buyer,DLR-CUST-10037,West Valley Cars,Luxury SUV,Communication,2,I received too many calls after asking to communicate by email only.
2026-02-07,Dealer Website,First-time Buyer,DLR-CUST-10038,West Valley Cars,Sedan,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-02-08,Service Survey,First-time Buyer,DLR-CUST-10039,West Valley Cars,Van,Communication,1,Nobody returned my voicemail about a warranty question.
2026-02-09,Cars.com,First-time Buyer,DLR-CUST-10040,Lakeside Dealership,EV,Warranty,4,The warranty options were explained clearly without pressure.
2026-02-10,Facebook,Repeat Customer,DLR-CUST-10041,Lakeside Dealership,Truck,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-02-11,Google Reviews,Repeat Customer,DLR-CUST-10042,Lakeside Dealership,Hybrid,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-02-12,Email Survey,Repeat Customer,DLR-CUST-10043,Airport Auto Center,Van,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-02-13,Cars.com,Repeat Customer,DLR-CUST-10044,Airport Auto Center,Certified Pre-Owned,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-02-14,Facebook,Repeat Customer,DLR-CUST-10045,Airport Auto Center,Van,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-02-15,Cars.com,Luxury Buyer,DLR-CUST-10046,Downtown Auto Mall,SUV,Customer Support,4,The receptionist quickly connected me to the right department.
2026-02-16,Facebook,Luxury Buyer,DLR-CUST-10047,Downtown Auto Mall,Sedan,Customer Support,2,I was transferred three times before someone could answer my question.
2026-02-17,Google Reviews,Luxury Buyer,DLR-CUST-10048,Downtown Auto Mall,Sedan,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-02-18,Dealer Website,Luxury Buyer,DLR-CUST-10049,Northside Motors,EV,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-02-19,Service Survey,Luxury Buyer,DLR-CUST-10050,Northside Motors,Luxury SUV,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-02-20,Phone Follow-up,Budget Buyer,DLR-CUST-10051,Northside Motors,Hybrid,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-02-21,Email Survey,Budget Buyer,DLR-CUST-10052,West Valley Cars,Luxury SUV,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-02-22,Cars.com,Budget Buyer,DLR-CUST-10053,West Valley Cars,Sedan,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-02-23,Facebook,Budget Buyer,DLR-CUST-10054,West Valley Cars,Van,Financing,2,The final monthly payment was higher than what was discussed online.
2026-02-24,Google Reviews,Budget Buyer,DLR-CUST-10055,Lakeside Dealership,Van,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-02-25,Dealer Website,Fleet Customer,DLR-CUST-10056,Lakeside Dealership,EV,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-02-26,Service Survey,Fleet Customer,DLR-CUST-10057,Lakeside Dealership,EV,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-02-27,Dealer Website,Fleet Customer,DLR-CUST-10058,Airport Auto Center,EV,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-02-28,Service Survey,Fleet Customer,DLR-CUST-10059,Airport Auto Center,EV,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-03-01,Phone Follow-up,Fleet Customer,DLR-CUST-10060,Airport Auto Center,Van,Pricing,4,The price was fair and the final invoice matched the quote.
2026-03-02,Email Survey,Service Customer,DLR-CUST-10061,Downtown Auto Mall,Van,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-03-03,Google Reviews,Service Customer,DLR-CUST-10062,Downtown Auto Mall,Van,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-03-04,Dealer Website,Service Customer,DLR-CUST-10063,Downtown Auto Mall,SUV,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-03-05,Service Survey,Service Customer,DLR-CUST-10064,Northside Motors,EV,Inventory,4,They had several trims available and helped me find the right configuration.
2026-03-06,Phone Follow-up,Service Customer,DLR-CUST-10065,Northside Motors,SUV,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-03-07,Phone Follow-up,Trade-in Customer,DLR-CUST-10066,Northside Motors,EV,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-03-08,Email Survey,Trade-in Customer,DLR-CUST-10067,West Valley Cars,Luxury SUV,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-03-09,Cars.com,Trade-in Customer,DLR-CUST-10068,West Valley Cars,Luxury SUV,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-03-10,Facebook,Trade-in Customer,DLR-CUST-10069,West Valley Cars,Certified Pre-Owned,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-03-11,Phone Follow-up,Trade-in Customer,DLR-CUST-10070,Lakeside Dealership,Truck,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-03-12,Email Survey,First-time Buyer,DLR-CUST-10071,Lakeside Dealership,Sedan,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-03-13,Cars.com,First-time Buyer,DLR-CUST-10072,Lakeside Dealership,Truck,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-03-14,Facebook,First-time Buyer,DLR-CUST-10073,Airport Auto Center,SUV,Service Department,1,The same warning light came back the day after service.
2026-03-15,Dealer Website,First-time Buyer,DLR-CUST-10074,Airport Auto Center,EV,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-03-16,Service Survey,First-time Buyer,DLR-CUST-10075,Airport Auto Center,Luxury SUV,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-03-17,Phone Follow-up,Repeat Customer,DLR-CUST-10076,Downtown Auto Mall,Luxury SUV,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-03-18,Google Reviews,Repeat Customer,DLR-CUST-10077,Downtown Auto Mall,SUV,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-03-19,Dealer Website,Repeat Customer,DLR-CUST-10078,Downtown Auto Mall,Van,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-03-20,Service Survey,Repeat Customer,DLR-CUST-10079,Northside Motors,SUV,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-03-21,Phone Follow-up,Repeat Customer,DLR-CUST-10080,Northside Motors,Sedan,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-03-22,Phone Follow-up,Luxury Buyer,DLR-CUST-10081,Northside Motors,Hybrid,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-03-23,Email Survey,Luxury Buyer,DLR-CUST-10082,West Valley Cars,EV,Website,2,The payment calculator does not match the numbers provided by finance.
2026-03-24,Cars.com,Luxury Buyer,DLR-CUST-10083,West Valley Cars,Certified Pre-Owned,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-03-25,Facebook,Luxury Buyer,DLR-CUST-10084,West Valley Cars,Hybrid,Website,1,I submitted a lead form and never received a response.
2026-03-26,Facebook,Luxury Buyer,DLR-CUST-10085,Lakeside Dealership,SUV,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-03-27,Google Reviews,Budget Buyer,DLR-CUST-10086,Lakeside Dealership,Van,Communication,2,I received too many calls after asking to communicate by email only.
2026-03-28,Dealer Website,Budget Buyer,DLR-CUST-10087,Lakeside Dealership,SUV,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-03-29,Service Survey,Budget Buyer,DLR-CUST-10088,Airport Auto Center,Sedan,Communication,1,Nobody returned my voicemail about a warranty question.
2026-03-30,Cars.com,Budget Buyer,DLR-CUST-10089,Airport Auto Center,Hybrid,Warranty,4,The warranty options were explained clearly without pressure.
2026-03-31,Facebook,Budget Buyer,DLR-CUST-10090,Airport Auto Center,EV,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-04-01,Google Reviews,Fleet Customer,DLR-CUST-10091,Downtown Auto Mall,Certified Pre-Owned,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-04-02,Email Survey,Fleet Customer,DLR-CUST-10092,Downtown Auto Mall,Sedan,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-04-03,Cars.com,Fleet Customer,DLR-CUST-10093,Downtown Auto Mall,Luxury SUV,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-04-04,Facebook,Fleet Customer,DLR-CUST-10094,Northside Motors,Sedan,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-04-05,Cars.com,Fleet Customer,DLR-CUST-10095,Northside Motors,Truck,Customer Support,4,The receptionist quickly connected me to the right department.
2026-04-06,Facebook,Service Customer,DLR-CUST-10096,Northside Motors,SUV,Customer Support,2,I was transferred three times before someone could answer my question.
2026-04-07,Google Reviews,Service Customer,DLR-CUST-10097,West Valley Cars,SUV,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-04-08,Dealer Website,Service Customer,DLR-CUST-10098,West Valley Cars,Hybrid,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-04-09,Service Survey,Service Customer,DLR-CUST-10099,West Valley Cars,Van,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-04-10,Phone Follow-up,Service Customer,DLR-CUST-10100,Lakeside Dealership,Certified Pre-Owned,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-04-11,Email Survey,Trade-in Customer,DLR-CUST-10101,Lakeside Dealership,Van,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-04-12,Cars.com,Trade-in Customer,DLR-CUST-10102,Lakeside Dealership,SUV,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-04-13,Facebook,Trade-in Customer,DLR-CUST-10103,Airport Auto Center,Sedan,Financing,2,The final monthly payment was higher than what was discussed online.
2026-04-14,Google Reviews,Trade-in Customer,DLR-CUST-10104,Airport Auto Center,Sedan,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-04-15,Dealer Website,Trade-in Customer,DLR-CUST-10105,Airport Auto Center,Hybrid,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-04-16,Service Survey,First-time Buyer,DLR-CUST-10106,Downtown Auto Mall,Hybrid,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-04-17,Dealer Website,First-time Buyer,DLR-CUST-10107,Downtown Auto Mall,Hybrid,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-04-18,Service Survey,First-time Buyer,DLR-CUST-10108,Downtown Auto Mall,Hybrid,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-04-19,Phone Follow-up,First-time Buyer,DLR-CUST-10109,Northside Motors,Sedan,Pricing,4,The price was fair and the final invoice matched the quote.
2026-04-20,Email Survey,First-time Buyer,DLR-CUST-10110,Northside Motors,Sedan,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-04-21,Google Reviews,Repeat Customer,DLR-CUST-10111,Northside Motors,Sedan,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-04-22,Dealer Website,Repeat Customer,DLR-CUST-10112,West Valley Cars,Truck,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-04-23,Service Survey,Repeat Customer,DLR-CUST-10113,West Valley Cars,Hybrid,Inventory,4,They had several trims available and helped me find the right configuration.
2026-04-24,Phone Follow-up,Repeat Customer,DLR-CUST-10114,West Valley Cars,Truck,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-04-25,Phone Follow-up,Repeat Customer,DLR-CUST-10115,Lakeside Dealership,Hybrid,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-04-26,Email Survey,Luxury Buyer,DLR-CUST-10116,Lakeside Dealership,Van,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-04-27,Cars.com,Luxury Buyer,DLR-CUST-10117,Lakeside Dealership,Van,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-04-28,Facebook,Luxury Buyer,DLR-CUST-10118,Airport Auto Center,Luxury SUV,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-04-29,Phone Follow-up,Luxury Buyer,DLR-CUST-10119,Airport Auto Center,EV,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-04-30,Email Survey,Luxury Buyer,DLR-CUST-10120,Airport Auto Center,SUV,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-05-01,Cars.com,Budget Buyer,DLR-CUST-10121,Downtown Auto Mall,EV,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-05-02,Facebook,Budget Buyer,DLR-CUST-10122,Downtown Auto Mall,Truck,Service Department,1,The same warning light came back the day after service.
2026-05-03,Dealer Website,Budget Buyer,DLR-CUST-10123,Downtown Auto Mall,Hybrid,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-05-04,Service Survey,Budget Buyer,DLR-CUST-10124,Northside Motors,Van,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-05-05,Phone Follow-up,Budget Buyer,DLR-CUST-10125,Northside Motors,Van,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-05-06,Google Reviews,Fleet Customer,DLR-CUST-10126,Northside Motors,Truck,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-05-07,Dealer Website,Fleet Customer,DLR-CUST-10127,West Valley Cars,Sedan,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-05-08,Service Survey,Fleet Customer,DLR-CUST-10128,West Valley Cars,Truck,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-05-09,Phone Follow-up,Fleet Customer,DLR-CUST-10129,West Valley Cars,SUV,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-05-10,Phone Follow-up,Fleet Customer,DLR-CUST-10130,Lakeside Dealership,Certified Pre-Owned,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-05-11,Email Survey,Service Customer,DLR-CUST-10131,Lakeside Dealership,Hybrid,Website,2,The payment calculator does not match the numbers provided by finance.
2026-05-12,Cars.com,Service Customer,DLR-CUST-10132,Lakeside Dealership,Luxury SUV,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-05-13,Facebook,Service Customer,DLR-CUST-10133,Airport Auto Center,Certified Pre-Owned,Website,1,I submitted a lead form and never received a response.
2026-05-14,Facebook,Service Customer,DLR-CUST-10134,Airport Auto Center,Truck,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-05-15,Google Reviews,Service Customer,DLR-CUST-10135,Airport Auto Center,Sedan,Communication,2,I received too many calls after asking to communicate by email only.
2026-05-16,Dealer Website,Trade-in Customer,DLR-CUST-10136,Downtown Auto Mall,Truck,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-05-17,Service Survey,Trade-in Customer,DLR-CUST-10137,Downtown Auto Mall,SUV,Communication,1,Nobody returned my voicemail about a warranty question.
2026-05-18,Cars.com,Trade-in Customer,DLR-CUST-10138,Downtown Auto Mall,Certified Pre-Owned,Warranty,4,The warranty options were explained clearly without pressure.
2026-05-19,Facebook,Trade-in Customer,DLR-CUST-10139,Northside Motors,Hybrid,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-05-20,Google Reviews,Trade-in Customer,DLR-CUST-10140,Northside Motors,Luxury SUV,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-05-21,Email Survey,First-time Buyer,DLR-CUST-10141,Northside Motors,SUV,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-05-22,Cars.com,First-time Buyer,DLR-CUST-10142,West Valley Cars,Van,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-05-23,Facebook,First-time Buyer,DLR-CUST-10143,West Valley Cars,SUV,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-05-24,Cars.com,First-time Buyer,DLR-CUST-10144,West Valley Cars,EV,Customer Support,4,The receptionist quickly connected me to the right department.
2026-05-25,Facebook,First-time Buyer,DLR-CUST-10145,Lakeside Dealership,Truck,Customer Support,2,I was transferred three times before someone could answer my question.
2026-05-26,Google Reviews,Repeat Customer,DLR-CUST-10146,Lakeside Dealership,Truck,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-05-27,Dealer Website,Repeat Customer,DLR-CUST-10147,Lakeside Dealership,Certified Pre-Owned,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-05-28,Service Survey,Repeat Customer,DLR-CUST-10148,Airport Auto Center,Sedan,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-05-29,Phone Follow-up,Repeat Customer,DLR-CUST-10149,Airport Auto Center,Luxury SUV,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-05-30,Email Survey,Repeat Customer,DLR-CUST-10150,Airport Auto Center,Sedan,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-05-31,Cars.com,Luxury Buyer,DLR-CUST-10151,Downtown Auto Mall,Truck,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-06-01,Facebook,Luxury Buyer,DLR-CUST-10152,Downtown Auto Mall,SUV,Financing,2,The final monthly payment was higher than what was discussed online.
2026-06-02,Google Reviews,Luxury Buyer,DLR-CUST-10153,Downtown Auto Mall,SUV,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-06-03,Dealer Website,Luxury Buyer,DLR-CUST-10154,Northside Motors,Certified Pre-Owned,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-06-04,Service Survey,Luxury Buyer,DLR-CUST-10155,Northside Motors,Certified Pre-Owned,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-06-05,Dealer Website,Budget Buyer,DLR-CUST-10156,Northside Motors,Certified Pre-Owned,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-01-01,Service Survey,Budget Buyer,DLR-CUST-10157,West Valley Cars,Certified Pre-Owned,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-01-02,Phone Follow-up,Budget Buyer,DLR-CUST-10158,West Valley Cars,SUV,Pricing,4,The price was fair and the final invoice matched the quote.
2026-01-03,Email Survey,Budget Buyer,DLR-CUST-10159,West Valley Cars,SUV,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-01-04,Google Reviews,Budget Buyer,DLR-CUST-10160,Lakeside Dealership,SUV,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-01-05,Dealer Website,Fleet Customer,DLR-CUST-10161,Lakeside Dealership,EV,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-01-06,Service Survey,Fleet Customer,DLR-CUST-10162,Lakeside Dealership,Certified Pre-Owned,Inventory,4,They had several trims available and helped me find the right configuration.
2026-01-07,Phone Follow-up,Fleet Customer,DLR-CUST-10163,Airport Auto Center,EV,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-01-08,Phone Follow-up,Fleet Customer,DLR-CUST-10164,Airport Auto Center,Certified Pre-Owned,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-01-09,Email Survey,Fleet Customer,DLR-CUST-10165,Airport Auto Center,Sedan,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-01-10,Cars.com,Service Customer,DLR-CUST-10166,Downtown Auto Mall,Sedan,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-01-11,Facebook,Service Customer,DLR-CUST-10167,Downtown Auto Mall,Van,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-01-12,Phone Follow-up,Service Customer,DLR-CUST-10168,Downtown Auto Mall,Hybrid,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-01-13,Email Survey,Service Customer,DLR-CUST-10169,Northside Motors,Truck,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-01-14,Cars.com,Service Customer,DLR-CUST-10170,Northside Motors,Hybrid,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-01-15,Facebook,Trade-in Customer,DLR-CUST-10171,Northside Motors,EV,Service Department,1,The same warning light came back the day after service.
2026-01-16,Dealer Website,Trade-in Customer,DLR-CUST-10172,West Valley Cars,Certified Pre-Owned,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-01-17,Service Survey,Trade-in Customer,DLR-CUST-10173,West Valley Cars,Sedan,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-01-18,Phone Follow-up,Trade-in Customer,DLR-CUST-10174,West Valley Cars,Sedan,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-01-19,Google Reviews,Trade-in Customer,DLR-CUST-10175,Lakeside Dealership,EV,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-01-20,Dealer Website,First-time Buyer,DLR-CUST-10176,Lakeside Dealership,SUV,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-01-21,Service Survey,First-time Buyer,DLR-CUST-10177,Lakeside Dealership,EV,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-01-22,Phone Follow-up,First-time Buyer,DLR-CUST-10178,Airport Auto Center,Truck,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-01-23,Phone Follow-up,First-time Buyer,DLR-CUST-10179,Airport Auto Center,Luxury SUV,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-01-24,Email Survey,First-time Buyer,DLR-CUST-10180,Airport Auto Center,Certified Pre-Owned,Website,2,The payment calculator does not match the numbers provided by finance.
2026-01-25,Cars.com,Repeat Customer,DLR-CUST-10181,Downtown Auto Mall,Van,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-01-26,Facebook,Repeat Customer,DLR-CUST-10182,Downtown Auto Mall,Luxury SUV,Website,1,I submitted a lead form and never received a response.
