date,source,segment,customer_id,product_area,feedback
2026-06-01,CSV Import,Growth,CUST-1100,Billing,Invoice downloads should include the subscription ID and tax details.
2026-06-02,Zendesk,SMB,CUST-1101,Billing,The billing history page does not show who changed the plan.
2026-06-03,Intercom,Consumer,CUST-1102,Billing,We need purchase order support before finance can approve renewal.
2026-06-04,App Store,Enterprise,CUST-1103,Integrations,The Slack integration sends duplicate alerts for the same event.
2026-06-05,Google Play,Growth,CUST-1104,Integrations,Please add Microsoft Teams notifications for enterprise customers.
2026-06-06,CSV Import,SMB,CUST-1105,Integrations,The Jira sync misses comments added after the first issue push.
2026-06-07,Zendesk,Consumer,CUST-1106,UX,The filter menu closes too quickly when selecting multiple options.
2026-06-08,Intercom,Enterprise,CUST-1107,UX,Empty states should explain what action to take next.
2026-06-09,App Store,Growth,CUST-1108,UX,The table columns are hard to resize and saved widths do not persist.
2026-06-10,Google Play,SMB,CUST-1109,Permissions,Admins need a way to preview what each role can see.
2026-06-11,CSV Import,Consumer,CUST-1110,Permissions,"Read-only users can still access export controls, which is confusing."
2026-06-12,Zendesk,Enterprise,CUST-1111,Permissions,We need separate permissions for billing settings and product settings.
2026-06-13,Intercom,Growth,CUST-1112,Bugs,CSV upload fails when the file has quoted line breaks in feedback text.
2026-06-14,App Store,SMB,CUST-1113,Bugs,The date filter sometimes includes one extra day outside the selected range.
2026-06-15,Google Play,Consumer,CUST-1114,Bugs,Bulk archive marks some records as archived but leaves them visible.
2026-06-16,CSV Import,Enterprise,CUST-1115,Support,"The support team solved my issue, but it took three handoffs."
